Date,Open,High,Low,Close,Adj Close,Volume,Return
10/1/2017,2.341,2.475,2.273,2.376,2.376,0,
11/1/2017,2.398,2.437,2.304,2.417,2.417,0,1.73%
12/1/2017,2.383,2.499,2.314,2.405,2.405,0,-0.50%
1/1/2018,2.433,2.754,2.425,2.72,2.72,0,13.10%
2/1/2018,2.743,2.943,2.722,2.868,2.868,0,5.44%
3/1/2018,2.831,2.936,2.739,2.741,2.741,0,-4.43%
4/1/2018,2.763,3.035,2.717,2.936,2.936,0,7.11%
5/1/2018,2.966,3.115,2.759,2.822,2.822,0,-3.88%
6/1/2018,2.9,3.009,2.824,2.849,2.849,0,0.96%
7/1/2018,2.829,2.99,2.811,2.964,2.964,0,4.04%
8/1/2018,2.992,3.016,2.808,2.853,2.853,0,-3.74%
9/1/2018,2.869,3.11,2.868,3.056,3.056,0,7.12%
10/1/2018,3.086,3.248,3.046,3.159,3.159,0,3.37%
11/1/2018,3.164,3.239,3.008,3.013,3.013,0,-4.62%
12/1/2018,3.041,3.041,2.679,2.686,2.686,0,-10.85%
1/1/2019,2.652,2.799,2.554,2.635,2.635,0,-1.90%
2/1/2019,2.631,2.734,2.625,2.711,2.711,0,2.88%
3/1/2019,2.737,2.759,2.356,2.414,2.414,0,-10.96%
4/1/2019,2.442,2.614,2.424,2.509,2.509,0,3.94%
5/1/2019,2.504,2.576,2.137,2.142,2.142,0,-14.63%
6/1/2019,2.112,2.174,1.975,2,2,0,-6.63%
7/1/2019,2.026,2.148,1.943,2.021,2.021,0,1.05%
8/1/2019,2.028,2.028,1.446,1.506,1.506,0,-25.48%
9/1/2019,1.483,1.903,1.429,1.675,1.675,0,11.22%
10/1/2019,1.727,1.86,1.51,1.691,1.691,0,0.96%
11/1/2019,1.677,1.971,1.67,1.776,1.776,0,5.03%
12/1/2019,1.833,1.949,1.693,1.919,1.919,0,8.05%
1/1/2020,1.903,1.903,1.512,1.52,1.52,0,-20.79%
2/1/2020,1.555,1.668,1.127,1.127,1.127,0,-25.86%
3/1/2020,1.067,1.266,0.398,0.698,0.698,0,-38.07%
4/1/2020,0.61,0.784,0.543,0.622,0.622,0,-10.89%
5/1/2020,0.613,0.745,0.59,0.648,0.648,0,4.18%
6/1/2020,0.667,0.957,0.619,0.653,0.653,0,0.77%
7/1/2020,0.681,0.724,0.528,0.536,0.536,0,-17.92%
8/1/2020,0.559,0.746,0.504,0.693,0.693,0,29.29%
9/1/2020,0.72,0.729,0.606,0.677,0.677,0,-2.31%
10/1/2020,0.701,0.872,0.653,0.86,0.86,0,27.03%
11/1/2020,0.854,0.975,0.748,0.844,0.844,0,-1.86%
12/1/2020,0.857,0.986,0.857,0.917,0.917,0,8.65%
1/1/2021,0.935,1.187,0.907,1.093,1.093,0,19.19%
2/1/2021,1.079,1.614,1.06,1.46,1.46,0,33.58%
3/1/2021,1.451,1.765,1.403,1.746,1.746,0,19.59%
4/1/2021,1.705,1.745,1.529,1.631,1.631,0,-6.59%
5/1/2021,1.651,1.7,1.471,1.581,1.581,0,-3.07%
6/1/2021,1.625,1.639,1.438,1.443,1.443,0,-8.73%
7/1/2021,1.471,1.485,1.128,1.239,1.239,0,-14.14%
8/1/2021,1.231,1.379,1.129,1.304,1.304,0,5.25%
9/1/2021,1.311,1.567,1.26,1.529,1.529,0,17.25%
10/1/2021,1.496,1.691,1.463,1.557,1.557,0,1.83%
11/1/2021,1.587,1.693,1.412,1.443,1.443,0,-7.32%
12/1/2021,1.482,1.558,1.343,1.512,1.512,0,4.78%
1/1/2022,1.534,1.874,1.533,1.782,1.782,0,17.86%
2/1/2022,1.75,2.065,1.743,1.839,1.839,0,3.20%
3/1/2022,1.734,2.503,1.682,2.327,2.327,0,26.54%
4/1/2022,2.404,2.954,2.357,2.887,2.887,0,24.07%
5/1/2022,2.922,3.167,2.708,2.844,2.844,0,-1.49%
6/1/2022,2.871,3.483,2.833,2.972,2.972,0,4.50%
7/1/2022,2.932,3.101,2.618,2.642,2.642,0,-11.10%
8/1/2022,2.658,3.151,2.525,3.133,3.133,0,18.58%
9/1/2022,3.217,3.992,3.176,3.804,3.804,0,21.42%
