Date,Open,High,Low,Close,Adj Close,Volume,Return
10/1/2017,60.189999,63.275002,60.049999,63.029999,49.569248,84443204,
11/1/2017,62.919998,65.830002,61.455002,64.120003,50.426472,102962418,1.73%
12/1/2017,63.849998,66.919998,63.099899,66.709999,53.255947,61752596,4.04%
1/1/2018,66.709999,72.43,66.709999,70.239998,56.074009,55900063,5.29%
2/1/2018,68.900002,69.690002,61.014999,63.27,50.509724,86544824,-9.92%
3/1/2018,63.150002,65.129997,61.299999,63.810001,51.681953,77783771,0.85%
4/1/2018,63.720001,71.690002,62.330002,69.900002,56.61446,79703518,9.54%
5/1/2018,69.730003,73.855003,67.111,69.580002,56.35527,80091797,-0.46%
6/1/2018,69.860001,70.714996,66.355003,69.230003,56.816578,83011433,-0.50%
7/1/2018,68.379997,71.849998,67.260002,68.370003,56.110775,58179391,-1.24%
8/1/2018,67.779999,67.800003,61.610001,65.230003,53.53381,65562293,-4.59%
9/1/2018,65.230003,70.089996,62.459999,68.139999,56.714993,60442997,4.46%
10/1/2018,68.940002,69.599998,60.529999,63.189999,52.594959,104027119,-7.26%
11/1/2018,63.529999,64.555,58.549999,60.400002,50.272758,74771261,-4.42%
12/1/2018,61.93,62.119999,55.040001,58.27,49.254684,83981485,-3.53%
1/1/2019,58.27,62.34,57.720001,61.73,52.179379,65799697,5.94%
2/1/2019,62.259998,63.976501,61.970001,62.209999,52.585114,51515285,0.78%
3/1/2019,62.23,64.735001,60.299999,62.59,53.707027,55981793,0.61%
4/1/2019,63.419998,65.410004,62.59,63.529999,54.513622,48913818,1.50%
5/1/2019,63.5,64.919998,61.669998,61.810001,53.037727,57045327,-2.71%
6/1/2019,62.369999,66.480003,61.810001,65.07,56.656166,44519010,5.27%
7/1/2019,66.360001,66.360001,62.439999,62.889999,54.758041,43119977,-3.35%
8/1/2019,59.560001,60,54.779999,55.599998,48.410671,72920183,-11.59%
9/1/2019,55.599998,59.32,54.560001,58.849998,52.10923,59810935,5.85%
10/1/2019,58.669998,60.195,56.130001,57.970001,51.330025,58452907,-1.50%
11/1/2019,58.220001,60.509998,57.279999,57.490002,50.905006,60782350,-0.83%
12/1/2019,57.630001,59.525002,56.029999,58.98,53.051487,56858792,2.59%
1/1/2020,58.98,61.169998,51.830002,52.150002,46.90802,80399237,-11.58%
2/1/2020,51.380001,53.09,42.110001,44.029999,39.604218,116071450,-15.57%
3/1/2020,44.060001,46.02,21.254999,34.889999,31.953438,290616945,-20.76%
4/1/2020,36.580002,40.349998,31.959999,33.130001,30.341568,187910239,-5.04%
5/1/2020,31.85,34.82,28.98,31.950001,29.260881,136602113,-3.56%
6/1/2020,32.150002,39.330002,31.865,32.689999,30.25046,126136010,2.32%
7/1/2020,32.82,34.130001,29.549999,29.809999,27.585382,122662672,-8.81%
8/1/2020,29.959999,33.189999,29.450001,29.68,27.465092,99225505,-0.44%
9/1/2020,29.200001,29.610001,25.07,25.17,23.520634,157758105,-15.20%
10/1/2020,24.629999,27.195,23.07,25.549999,23.875732,143686677,1.51%
11/1/2020,26.33,37.224998,25.9,33.84,31.622496,129394099,32.45%
12/1/2020,35.23,38.869999,34.709999,35.139999,33.189396,104449470,3.84%
1/1/2021,35.139999,41.849998,35.139999,36.889999,34.842258,93979636,4.98%
2/1/2021,36.889999,43.189999,35.73,41.029999,38.752445,108306146,11.22%
3/1/2021,41.080002,44.5,38.790001,39.209999,37.340038,112508806,-4.44%
4/1/2021,39.650002,40.580002,37.730999,38,36.187748,107314026,-3.09%
5/1/2021,38.040001,41.450001,37.985001,38.610001,36.768654,106716049,1.61%
6/1/2021,39.330002,42.380001,38.880001,40.400002,38.813393,116485368,4.64%
7/1/2021,41.34,41.669998,36.32,40.619999,39.02475,100484645,0.54%
8/1/2021,41.040001,41.880001,37.965,39.759998,38.198528,94683717,-2.12%
9/1/2021,39.970001,45.41,39.009998,44.57,43.316326,118708088,12.10%
10/1/2021,45.07,50.75,44.75,45.919998,44.628349,145422354,3.03%
11/1/2021,46.369999,46.5,41.459999,42.040001,40.857491,99897504,-8.45%
12/1/2021,43.02,45.119999,41.23,43.400002,42.623619,97655024,3.24%
1/1/2022,44.040001,52.09,43.959999,51.400002,50.480507,109350161,18.43%
2/1/2022,51.59,56.130001,50.68,52.389999,51.452793,87679303,1.93%
3/1/2022,52.200001,55.93,48.27,54.93,53.947357,132636536,4.85%
4/1/2022,54.950001,58.68,52.240002,53.43,52.47419,90446927,-2.73%
5/1/2022,52.779999,60.849998,52.310001,59.220001,58.160614,113003590,10.84%
6/1/2022,59.630001,61.674999,48.639999,52.290001,51.797909,119215557,-11.70%
7/1/2022,51.57,53.5,44.900002,53.380001,52.877651,93921852,2.08%
8/1/2022,52.799999,56.18,50.810001,52.98,52.481411,110384477,-0.75%
9/1/2022,52.799999,54.564999,46.741001,49.759998,49.759998,116834620,-6.08%
