Date,Open,High,Low,Close,Adj Close,Volume,Return
10/1/2017,81.300003,84.239998,81.25,83.349998,64.010841,172408300,
11/1/2017,83.389999,84.139999,80.010002,83.290001,63.964775,191810600,-0.07%
12/1/2017,83.440002,84.360001,82.169998,83.639999,64.828041,220601300,1.35%
1/1/2018,83.82,89.300003,83.660004,87.300003,67.664841,233944600,4.38%
2/1/2018,87.5,89.25,73.900002,75.739998,58.704857,369414700,-13.24%
3/1/2018,75.529999,76.980003,72.669998,74.610001,58.42038,356741300,-0.48%
4/1/2018,74.269997,80.900002,72.160004,77.75,60.879017,285826800,4.21%
5/1/2018,77.260002,82.650002,75.400002,81.239998,63.611725,299337700,4.49%
6/1/2018,81.870003,83.790001,79.300003,82.730003,65.434998,257136500,2.87%
7/1/2018,81.889999,84.400002,80.709999,81.510002,64.47007,204469200,-1.47%
8/1/2018,80.889999,81.589996,76.510002,80.169998,63.410183,215072500,-1.64%
9/1/2018,80.410004,87.360001,79.599998,85.019997,67.939873,227023600,7.14%
10/1/2018,85.349998,86.889999,76.220001,79.68,63.672646,305909200,-6.28%
11/1/2018,79.830002,83.75,74.699997,79.5,63.528816,287081300,-0.23%
12/1/2018,80.239998,81.949997,64.650002,68.190002,55.043339,380647000,-13.36%
1/1/2019,67.349998,73.489998,67.260002,73.279999,59.152008,269226500,7.46%
2/1/2019,74.919998,79.75,72.730003,79.029999,63.793446,245067300,7.85%
3/1/2019,79.379997,82,77.860001,80.800003,65.946304,272454400,3.37%
4/1/2019,81.230003,83.489998,79.559998,80.279999,65.521904,219523400,-0.64%
5/1/2019,79.940002,80.260002,70.629997,70.769997,57.760136,250094000,-11.85%
6/1/2019,71.089996,77.760002,70.970001,76.629997,63.259769,218953600,9.52%
7/1/2019,77.129997,77.93,74.18,74.360001,61.385845,186899500,-2.96%
8/1/2019,73.739998,74.269997,66.529999,68.480003,56.531773,277599800,-7.91%
9/1/2019,67.889999,75.18,67.629997,70.610001,59.014908,215355500,4.39%
10/1/2019,70.830002,70.910004,66.309998,67.57,56.47411,237608200,-4.31%
11/1/2019,68.389999,73.120003,67.32,68.129997,56.942154,249330500,0.83%
12/1/2019,68.5,70.540001,67.519997,69.779999,59.024548,286029400,3.66%
1/1/2020,70.239998,71.370003,61.860001,62.119999,52.545208,359133900,-10.98%
2/1/2020,61.380001,63.009998,48.009998,51.439999,43.511356,479874900,-17.19%
3/1/2020,52.59,54.150002,30.110001,37.970001,32.578632,1171277200,-25.13%
4/1/2020,36.860001,47.68,36.34,46.470001,39.871719,791507100,22.39%
5/1/2020,45.630001,47.150002,40.200001,45.470001,39.013706,477169600,-2.15%
6/1/2020,45.32,55.360001,43.16,44.720001,39.114178,584980000,0.26%
7/1/2020,44.490002,45.380001,40.91,42.080002,36.805115,447137800,-5.90%
8/1/2020,42.049999,46.419998,39.310001,39.939999,34.933365,449216800,-5.09%
9/1/2020,39.75,40.029999,33.759998,34.330002,30.618965,590803600,-12.35%
10/1/2020,33.790001,35.950001,31.110001,32.619999,29.093813,630433400,-4.98%
11/1/2020,33.139999,42.080002,32.529999,38.130001,34.00819,703960200,16.89%
12/1/2020,38.959999,44.470001,38.34,41.220001,37.65115,603794500,10.71%
1/1/2021,41.450001,51.080002,41,44.84,40.957729,594784100,8.78%
2/1/2021,45.580002,57.25,44.290001,54.369999,49.662617,543959000,21.25%
3/1/2021,56.470001,62.549999,54.450001,55.830002,51.862244,790785000,4.43%
4/1/2021,56.32,59.48,54.299999,57.240002,53.172035,457851400,2.53%
5/1/2021,57.98,64.019997,57.740002,58.369999,54.221722,521302100,1.97%
6/1/2021,59.450001,64.93,59.450001,63.080002,59.450634,526456700,9.64%
7/1/2021,64.330002,64.419998,54.599998,57.57,54.257652,435901400,-8.73%
8/1/2021,57.549999,59.060001,52.099998,54.52,51.383141,406363800,-5.30%
9/1/2021,54.490002,60.48,52.959999,58.82,56.274796,482908500,9.52%
10/1/2021,59.41,65.940002,59.41,64.470001,61.680313,435214600,9.61%
11/1/2021,65.07,66.379997,59.540001,59.84,57.25066,416061500,-7.18%
12/1/2021,60.900002,63.349998,57.959999,61.189999,59.329006,433112300,3.63%
1/1/2022,61.240002,76.419998,61.209999,75.959999,73.649803,608287500,24.14%
2/1/2022,76.449997,83.080002,74.029999,78.419998,76.034973,628643600,3.24%
3/1/2022,78.769997,91.510002,76.25,82.589996,80.965904,853500100,6.49%
4/1/2022,81.989998,89.800003,79.290001,85.25,83.573593,505627700,3.22%
5/1/2022,85.010002,99.779999,83.400002,96,94.112198,659837300,12.61%
6/1/2022,97.019997,105.57,83.519997,85.639999,84.81591,660217900,-9.88%
7/1/2022,86.739998,97.519997,80.690002,96.93,95.997269,427905800,13.18%
8/1/2022,94.790001,101.559998,86.279999,95.589996,94.670158,424555300,-1.38%
9/1/2022,94.419998,99.190002,83.889999,87.309998,87.309998,411377500,-7.77%
